Site,Land cover,Taxonomic group,Trophic  level,N of individuals, Name ,Weight,N  pieces of plastics,Plastic per gram
18,Improved grassland,Lepidoptera,Herbivore,1,Red admiral,0.01,1,50
19,Urban,Opisthopora,Detrivore,1,Rosy tipped worm,0.02,1,50
20,Suburban,Isopoda,Detrivore,25,Rough woodlouse ,0.25,2,8
21,Suburban,Isopoda,Detrivore,2,Common shiny ,0.14,2,14
21,Suburban,Lepidoptera,Herbivore,2,Red admiral,0.086,2,20
21,Suburban,Lepidoptera,Herbivore,2,Reddish light arches,0.047,1,20
22,Suburban,Stylommatophora,Herbivore,12,Garden snail,1,38,38
22,Suburban,Coleoptera,Carnivore,3,Harlequin ladybird,0.02,1,50
23,Improved grassland,Coleoptera,Carnivore,1,Pterostichus madidus,0.03,1,33
24,Arable and Horticulture,Stylommatophora,Herbivore,1,Garden snail,0.3,1,3
24,Arable and Horticulture,Stylommatophora,Herbivore,1,Kentish snail,0.03,3,100
24,Arable and Horticulture,Stylommatophora,Herbivore,2,White lipped snail,0.01,1,100
25,Arable and Horticulture,Coleoptera,Carnivore,2,6 spotted ladybird,0.02,1,50
25,Arable and Horticulture,Stylommatophora,Herbivore,10,Kentish snail,0.36,1,3
25,Arable and Horticulture,Stylommatophora,Herbivore,5,Pointed snail,0.22,1,5
25,Arable and Horticulture,Coleoptera,Herbivore,2,thick legged flower beetle,0.02,1,50
26,Arable and Horticulture,Coleoptera,Carnivore,6,7 spotted ladybird,0.1,2,20
26,Arable and Horticulture,Lepidoptera,Herbivore,2,Broom moth,0.11,1,9
26,Arable and Horticulture,Stylommatophora,Herbivore,23,Kentish snail,0.22,1,5
27,Arable and Horticulture,Lepidoptera,Herbivore,1,Yellow barred brindle,0.06,1,14
28,Calcareous grassland,Hemiptera,Herbivore,1,Hairy shield bug,0.04,1,25
29,Arable and Horticulture,Coleoptera,Herbivore,1,Fire bug,0.05,1,20
29,Arable and Horticulture,Stylommatophora,Herbivore,6,Round lipped snail,0.05,2,40
30,Arable and Horticulture,Coleoptera,Carnivore,2,Orange ladybird,0.02,1,50
31,Arable and Horticulture,Coleoptera,Carnivore,5,6 spotted ladybird,0.06,1,17
32,Arable and Horticulture,Isopoda,Detrivore,3,Common striped ,0.03,4,133
33,Arable and Horticulture,Isopoda,Detrivore,2,Common Pill,0.05,1,20
33,Arable and Horticulture,Stylommatophora,Herbivore,1,Kentish snail,0.06,1,17
33,Arable and Horticulture,Coleoptera,Omnivore,13,Red footed soldier beetle,0.08,2,25
33,Arable and Horticulture,Lepidoptera,Herbivore,1,Reddish light arches,0.189,1,5
34,Suburban,Stylommatophora,Herbivore,2,Garden snail,1,4,4
