Trophic level,Taxonomic group,Common name ,Size(mm)
Herbivore,Stylommatophora,Garden snail,0.24
Herbivore,Stylommatophora,Garden snail,0.19
Herbivore,Stylommatophora,Garden snail,0.25
Herbivore,Stylommatophora,Garden snail,0.24
Herbivore,Stylommatophora,Garden snail,0.24
Herbivore,Stylommatophora,Garden snail,0.22
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,0.48
Herbivore,Stylommatophora,Garden snail,0.12
Herbivore,Stylommatophora,Garden snail,0.3
Herbivore,Stylommatophora,Garden snail,0.25
Herbivore,Stylommatophora,Garden snail,0.25
Herbivore,Stylommatophora,Garden snail,0.25
Herbivore,Stylommatophora,Garden snail,0.25
Herbivore,Stylommatophora,Garden snail,0.25
Herbivore,Stylommatophora,Garden snail,0.24
Herbivore,Stylommatophora,Garden snail,0.24
Herbivore,Stylommatophora,Garden snail,0.24
Herbivore,Stylommatophora,Garden snail,0.24
Herbivore,Stylommatophora,Garden snail,0.24
Herbivore,Stylommatophora,Garden snail,0.22
Herbivore,Stylommatophora,Garden snail,0.22
Herbivore,Stylommatophora,Garden snail,0.22
Herbivore,Stylommatophora,Garden snail,0.22
Herbivore,Stylommatophora,Garden snail,0.22
Herbivore,Stylommatophora,Garden snail,0.22
Herbivore,Stylommatophora,Garden snail,0.2
Herbivore,Stylommatophora,Garden snail,0.19
Herbivore,Stylommatophora,Garden snail,0.19
Herbivore,Stylommatophora,Garden snail,0.19
Herbivore,Stylommatophora,Garden snail,0.19
Herbivore,Stylommatophora,Garden snail,0.19
Herbivore,Stylommatophora,Garden snail,0.19
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,0.18
Herbivore,Stylommatophora,Garden snail,1.2
Herbivore,Stylommatophora,Garden snail,0.11
Herbivore,Stylommatophora,Garden snail,0.5
Herbivore,Stylommatophora,Garden snail,0.12
Herbivore,Stylommatophora,Garden snail,0.12
Herbivore,Stylommatophora,Garden snail,0.1
Herbivore,Stylommatophora,Garden snail,0.12
Herbivore,Stylommatophora,Garden snail,0.13
Herbivore,Stylommatophora,Garden snail,0.1
Herbivore,Stylommatophora,Garden snail,0.09
Herbivore,Stylommatophora,Glass snail,0.11
Herbivore,Hemiptera,Green shield bug,0.4
Herbivore,Hemiptera,Hairy shield bug,0.7
Carnivore,Coleoptera,harlequin ladybird,2.94
Herbivore,Stylommatophora,Kentish,0.29
Herbivore,Stylommatophora,Kentish,0.08
Herbivore,Stylommatophora,Kentish,0.6
Herbivore,Stylommatophora,Kentish,0.28
Herbivore,Stylommatophora,Kentish,1
Herbivore,Stylommatophora,Kentish,0.1
Herbivore,Stylommatophora,Kentish,0.23
Herbivore,Stylommatophora,Kentish,0.19
Herbivore,Stylommatophora,Kentish,0.2
Herbivore,Stylommatophora,Kentish,0.21
Herbivore,Stylommatophora,Kentish,0.89
Herbivore,Stylommatophora,Large red,0.17
Herbivore,Stylommatophora,Large red,0.16
Herbivore,Stylommatophora,Large red,0.34
Herbivore,Stylommatophora,Large red,0.15
Herbivore,Stylommatophora,Leopard,0.91
Herbivore,Coleoptera,Mint leaf beetle,0.9
Herbivore,Coleoptera,Mint leaf beetle,0.29
Herbivore,Coleoptera,mint leaf Coleoptera,0.3
Carnivore,Coleoptera,Orange ladybird,0.7
Carnivore,Coleoptera,Orange ladybird,0.45
Herbivore,Lepidoptera,Peacock,0.59
Herbivore,Lepidoptera,Peacock,0.55
Herbivore,Coleoptera,pill beetle,1.03
Herbivore,Stylommatophora,Pointed snail,0.3
Carnivore,Coleoptera,Pterostichus madidus,3.9
Carnivore,Coleoptera,Pterostichus madidus,3.6
Carnivore,Coleoptera,Pterostichus madidus,3.1
Carnivore,Coleoptera,Pterostichus madidus,1.9
Carnivore,Coleoptera,Pterostichus madidus,0.55
Carnivore,Coleoptera,Pterostichus versicolor,0.79
Carnivore,Coleoptera,Pterostichus versicolor,2.18
Carnivore,Coleoptera,Pterostichus versicolor,0.64
Carnivore,Coleoptera,Pterostichus versicolor,5.22
Herbivore,Lepidoptera,Red admiral,0.4
Herbivore,Lepidoptera,Red admiral,0.26
Herbivore,Lepidoptera,Red admiral,1.02
Herbivore,Lepidoptera,Red admiral,0.67
Omnivore,Coleoptera,red footed solider beetle,0.6
Omnivore,Coleoptera,red footed solider beetle,4.8
Omnivore,Coleoptera,red footed solider beetle,1.6
Omnivore,Coleoptera,red footed solider beetle,0.5
Herbivore,Lepidoptera,reddish ,0.4
Herbivore,Lepidoptera,reddish ,0.3
Detrivore,Opisthopora,Rosy tipped earthworm,0.02
Detrivore,Opisthopora,Rosy tipped earthworm,0.22
Detrivore,Opisthopora,Rosy tipped earthworm,0.3
Detrivore,Opisthopora,Rosy tipped earthworm,0.23
Detrivore,Isopoda,Rough woodlouse ,0.33
Detrivore,Isopoda,Rough woodlouse ,0.19
Detrivore,Isopoda,Rough woodlouse ,0.24
Detrivore,Isopoda,Rough woodlouse ,0.45
Detrivore,Isopoda,Rough woodlouse ,0.36
Herbivore,Isopoda,Rough woodlouse ,0.39
Herbivore,Stylommatophora,round lipped snail,0.8
Herbivore,Coleoptera,Thicked legged flower beetle flower beetle,0.69
Herbivore,Coleoptera,Thicked legged flower beetle flower beetle,1
Herbivore,Coleoptera,Thicked legged flower beetle flower beetle,0.51
Herbivore,Stylommatophora,white lipped,0.73
Herbivore,Stylommatophora,white lipped,0.12
Herbivore,Stylommatophora,white lipped,0.56
Herbivore,Stylommatophora,white lipped,0.57
Herbivore,Lepidoptera,Yellow barred ,0.5
